,precision,recall,f1-score,support
Turun,0.2056173820879703,1.0,0.3410989010989011,388.0
Stagnan,0.0,0.0,0.0,1025.0
Naik,0.0,0.0,0.0,474.0
accuracy,0.2056173820879703,0.2056173820879703,0.2056173820879703,0.2056173820879703
macro avg,0.06853912736265677,0.3333333333333333,0.1136996336996337,1887.0
weighted avg,0.04227850781671038,0.2056173820879703,0.07013586307703955,1887.0
